marker,ln0251_n_cells,ln0251_mean,ln0251_std,ln0251_median,ln0251_pct_nonzero,ln0265_n_cells,ln0265_mean,ln0265_std,ln0265_median,ln0265_pct_nonzero,mean_difference,mean_fold_change,cohens_d,mannwhitney_p,mannwhitney_significant,ks_statistic,ks_p,wasserstein_distance,std_ratio,abs_cohens_d,abs_log_fc
BCL6,15115,0.020060076604539043,0.005683719409085684,0.019455838948488235,100.0,14297,0.011689965831742956,0.0025379622474937112,0.01154321152716875,100.0,0.008370110772796088,1.716006678993118,1.9016572144818646,0.0,True,0.7509736398552784,0.0,0.008370110772796088,2.2394726398992146,1.9016572144818646,0.23451897639563468
GATA3,15115,0.013264611550594888,0.008936519443605392,0.010137687437236309,100.0,14297,0.00574090136682687,0.0032256063712195293,0.004806241020560265,100.0,0.0075237101837680185,2.3105410801571975,1.119913582870975,0.0,True,0.6168679974708833,0.0,0.0075238907020233285,2.7704842780875105,1.119913582870975,0.36371369632144207
CD185,15115,0.02633794780900545,0.018038231867883777,0.02193082869052887,99.99338405557393,14297,0.02028945709287048,0.010358337018668125,0.019252149388194084,100.0,0.006048490716134971,1.2981093928415866,0.4112272128369648,8.68648926039479e-138,True,0.17760835298037148,3.284638936830519e-203,0.006048604479036435,1.7414199230219582,0.4112272128369648,0.1133112957372184
Tbet,15115,0.056853543592199775,0.025111807443194755,0.05266362056136131,100.0,14297,0.040566233053778426,0.016680340857433595,0.03800571337342262,100.0,0.01628731053842135,1.401498864877119,0.7640490784241236,0.0,True,0.48378976308352517,0.0,0.016287581260667455,1.5054723763201707,0.7640490784241236,0.14659275344496359
CD62L,15115,0.008725374357934593,0.003874910282642375,0.008239629678428173,100.0,14297,0.0047535631968930485,0.0025292038436074615,0.004126039333641529,99.99300552563474,0.003971811161041544,1.8355401287682973,1.213879718420614,0.0,True,0.5059959350604587,0.0,0.003971811161041545,1.5320611550645016,1.213879718420614,0.2637638859007424
FoxP3,15115,0.009383792098784403,0.01271019600123127,0.00661182776093483,99.98015216672181,14297,0.004537793626667876,0.006812594628957055,0.0035541215911507607,99.99300552563474,0.004845998472116527,2.067914980638982,0.47523387417254415,0.0,True,0.6533112542712163,0.0,0.004868668641156468,1.86568819027108,0.47523387417254415,0.3155326814938399
CD163,15115,0.02177914426070638,0.03242682612722172,0.00898419227451086,99.98015216672181,14297,0.01015615254167473,0.024197624265499363,0.0026612686924636364,99.972022102539,0.011622991719031651,2.1444265165448058,0.40626110131463694,0.0,True,0.3981470450451322,0.0,0.011622993777063505,1.3400824961411792,0.40626110131463694,0.33131117080694356
Ki67,15115,0.11388982073393078,0.18355030273700207,0.018450889736413956,99.95368838901754,14297,0.12454572465577228,0.13989942576727035,0.06780528277158737,99.93005525634749,-0.0106559039218415,0.914441759476605,-0.06529715161939205,2.987709809151554e-116,True,0.18738857632275335,2.438281915373111e-226,0.04439155597053095,1.312016033019226,0.06529715161939205,0.038843944643730574
CD366,15115,0.011153467740271896,0.010241954929352415,0.008169742301106453,99.94707244459147,14297,0.0065504579349856505,0.00754780463049155,0.004713921342045069,100.0,0.004603009805286246,1.7026978608202787,0.5116550468650394,0.0,True,0.43349930266964715,0.0,0.004614480060189613,1.3569430929022974,0.5116550468650394,0.23113759295602315
PAX5,15115,0.07429640932956005,0.07081024155149754,0.045084524899721146,100.0,14297,0.042671890882312484,0.02939889084579798,0.04288017749786377,100.0,0.03162451844724757,1.741108499817404,0.5833239692103386,1.9463108597772e-151,True,0.3143751580148474,0.0,0.03420110070607282,2.4086016658550866,0.5833239692103386,0.2408258381744394
